id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,dataset_type
36450,Male,38,1,50.0,0,1-2 Year,Yes,28733.0,156.0,219,1.0,train
270915,Male,23,1,7.0,0,< 1 Year,Yes,53281.0,152.0,57,0.0,train
145611,Female,23,1,4.0,1,< 1 Year,No,34910.0,152.0,62,0.0,train
345848,Female,23,1,41.0,1,< 1 Year,No,37919.0,152.0,176,0.0,train
90797,Female,24,1,30.0,1,< 1 Year,No,2630.0,152.0,182,0.0,train
277420,Male,69,1,29.0,1,1-2 Year,No,2630.0,26.0,103,0.0,train
124782,Male,53,1,28.0,0,1-2 Year,Yes,40236.0,45.0,69,1.0,train
196228,Male,42,1,28.0,0,1-2 Year,Yes,52616.0,124.0,161,0.0,train
268569,Male,54,1,43.0,1,1-2 Year,No,30482.0,124.0,73,0.0,train
99435,Male,22,1,30.0,1,< 1 Year,No,19269.0,152.0,125,0.0,train
22308,Female,38,1,28.0,0,1-2 Year,Yes,36998.0,26.0,260,0.0,train
17817,Female,24,1,13.0,1,< 1 Year,No,22377.0,26.0,248,0.0,train
14877,Male,43,1,46.0,0,1-2 Year,Yes,2630.0,31.0,52,0.0,train
147650,Male,45,1,28.0,0,1-2 Year,Yes,46419.0,124.0,56,1.0,train
195691,Female,60,1,26.0,1,1-2 Year,No,23038.0,120.0,119,0.0,train
215836,Male,50,1,28.0,0,1-2 Year,Yes,74340.0,26.0,245,1.0,train
37312,Female,60,1,28.0,0,1-2 Year,Yes,31706.0,124.0,274,0.0,train
21862,Male,54,1,28.0,0,1-2 Year,No,46633.0,26.0,201,0.0,train
25586,Female,44,1,28.0,0,1-2 Year,Yes,25993.0,26.0,69,0.0,train
39197,Male,24,1,30.0,1,< 1 Year,No,29507.0,152.0,47,0.0,train
6086,Male,29,1,33.0,1,< 1 Year,No,27968.0,152.0,276,0.0,train
112992,Male,21,1,46.0,0,< 1 Year,Yes,41521.0,152.0,231,0.0,train
211876,Male,28,1,10.0,1,< 1 Year,No,24778.0,152.0,185,0.0,train
24555,Male,65,1,48.0,1,1-2 Year,No,2630.0,15.0,296,0.0,train
337949,Male,56,1,28.0,0,1-2 Year,Yes,52105.0,52.0,282,0.0,train
44046,Male,25,1,28.0,0,< 1 Year,Yes,36403.0,124.0,92,0.0,train
153453,Female,51,1,28.0,1,1-2 Year,No,32486.0,124.0,210,0.0,train
39452,Male,66,1,6.0,0,1-2 Year,Yes,31043.0,91.0,257,0.0,train
125293,Female,43,1,33.0,0,1-2 Year,Yes,22412.0,156.0,118,1.0,train
155338,Male,24,1,8.0,1,< 1 Year,No,31636.0,152.0,40,0.0,train
150480,Female,23,1,34.0,1,< 1 Year,No,34328.0,152.0,233,0.0,train
242408,Male,42,1,8.0,0,1-2 Year,No,38383.0,152.0,205,0.0,train
101045,Male,52,1,39.0,0,1-2 Year,Yes,2630.0,26.0,51,0.0,train
251250,Male,34,1,8.0,1,1-2 Year,No,43406.0,152.0,201,0.0,train
166844,Male,41,1,27.0,0,1-2 Year,No,26230.0,124.0,84,0.0,train
190033,Male,24,1,45.0,0,< 1 Year,Yes,31606.0,152.0,228,1.0,train
176781,Male,23,1,46.0,1,< 1 Year,No,31374.0,152.0,288,0.0,train
207004,Male,33,1,28.0,0,< 1 Year,Yes,28326.0,124.0,89,0.0,train
27955,Female,45,1,6.0,0,1-2 Year,Yes,2630.0,156.0,71,0.0,train
267083,Male,69,1,0.0,0,1-2 Year,Yes,2630.0,122.0,202,0.0,train
157938,Female,56,1,39.0,1,1-2 Year,No,27307.0,124.0,101,0.0,train
307637,Female,23,1,28.0,1,< 1 Year,No,41305.0,152.0,256,0.0,train
286900,Female,21,1,2.0,0,< 1 Year,Yes,26097.0,160.0,169,0.0,train
28264,Male,50,1,28.0,1,1-2 Year,No,40182.0,52.0,156,0.0,train
263279,Male,56,1,41.0,0,1-2 Year,No,50991.0,124.0,158,0.0,train
160338,Male,78,1,28.0,0,1-2 Year,Yes,64872.0,30.0,186,0.0,train
4241,Male,48,1,28.0,0,1-2 Year,No,33027.0,154.0,286,0.0,train
29604,Male,23,1,41.0,0,< 1 Year,Yes,65499.0,156.0,165,0.0,train
56459,Male,42,1,28.0,0,1-2 Year,Yes,28177.0,124.0,44,0.0,train
189331,Male,40,1,9.0,1,1-2 Year,No,2630.0,26.0,234,0.0,train
305574,Female,23,1,28.0,0,< 1 Year,Yes,33224.0,152.0,50,0.0,train
200849,Female,44,1,28.0,1,1-2 Year,No,2630.0,156.0,101,0.0,train
133922,Male,60,1,17.0,0,1-2 Year,Yes,30598.0,122.0,244,0.0,train
188323,Male,49,1,15.0,0,1-2 Year,Yes,46225.0,122.0,225,1.0,train
271423,Male,26,1,30.0,1,< 1 Year,No,29258.0,152.0,265,0.0,train
331700,Male,37,1,0.0,1,1-2 Year,No,2630.0,151.0,226,0.0,train
91184,Male,51,1,8.0,1,1-2 Year,Yes,2630.0,26.0,240,0.0,train
87791,Male,23,1,41.0,1,< 1 Year,No,2630.0,160.0,122,0.0,train
331932,Female,22,1,46.0,1,< 1 Year,Yes,2630.0,160.0,274,0.0,train
126495,Female,63,1,18.0,0,1-2 Year,Yes,30159.0,26.0,133,0.0,train
118840,Male,53,1,28.0,0,> 2 Years,Yes,60168.0,26.0,135,1.0,train
5395,Male,51,1,28.0,0,> 2 Years,Yes,59926.0,26.0,274,0.0,train
204580,Female,71,1,28.0,0,1-2 Year,Yes,41880.0,3.0,111,0.0,train
203962,Female,32,1,28.0,0,1-2 Year,Yes,52646.0,157.0,143,0.0,train
205892,Male,66,1,8.0,0,1-2 Year,Yes,2630.0,124.0,221,0.0,train
209712,Female,25,1,9.0,1,< 1 Year,No,33619.0,26.0,73,0.0,train
293738,Female,38,1,28.0,0,1-2 Year,Yes,57356.0,26.0,268,1.0,train
279393,Female,39,1,28.0,0,1-2 Year,Yes,39777.0,26.0,147,1.0,train
96083,Male,44,1,28.0,0,1-2 Year,Yes,49353.0,26.0,21,0.0,train
204620,Male,36,1,28.0,1,1-2 Year,Yes,37733.0,52.0,129,0.0,train
173659,Female,43,1,28.0,0,1-2 Year,Yes,30383.0,26.0,235,0.0,train
59839,Male,55,1,28.0,0,1-2 Year,Yes,34797.0,26.0,197,0.0,train
16326,Female,28,1,15.0,1,< 1 Year,No,48294.0,152.0,117,0.0,train
218176,Female,57,1,39.0,1,1-2 Year,No,34690.0,124.0,297,0.0,train
149307,Female,27,1,15.0,0,< 1 Year,No,27351.0,152.0,10,0.0,train
308260,Male,23,1,3.0,1,< 1 Year,No,31155.0,152.0,224,0.0,train
283503,Male,61,1,11.0,1,1-2 Year,No,48473.0,26.0,67,0.0,train
278784,Male,37,1,28.0,0,1-2 Year,No,36876.0,124.0,245,0.0,train
353604,Male,24,1,9.0,0,< 1 Year,No,2630.0,152.0,252,0.0,train
124098,Female,33,1,21.0,1,< 1 Year,No,25583.0,152.0,152,0.0,train
249823,Female,43,1,28.0,1,1-2 Year,No,36825.0,124.0,296,0.0,train
342536,Male,25,1,6.0,1,< 1 Year,No,34906.0,152.0,155,0.0,train
35890,Female,41,1,43.0,0,1-2 Year,Yes,39161.0,124.0,175,0.0,train
309709,Male,22,1,36.0,0,< 1 Year,No,2630.0,26.0,227,0.0,train
51590,Male,64,1,28.0,0,1-2 Year,Yes,51449.0,124.0,11,0.0,train
94494,Female,35,1,39.0,0,1-2 Year,Yes,2630.0,156.0,255,0.0,train
103516,Male,70,1,28.0,0,< 1 Year,No,2630.0,1.0,209,0.0,train
158832,Male,44,1,30.0,0,1-2 Year,Yes,32768.0,140.0,239,0.0,train
274790,Female,26,1,46.0,1,< 1 Year,No,30809.0,152.0,126,0.0,train
174250,Male,40,1,42.0,1,1-2 Year,No,28036.0,124.0,176,0.0,train
316844,Male,21,1,46.0,0,< 1 Year,Yes,18104.0,160.0,37,0.0,train
58636,Female,27,1,28.0,0,< 1 Year,Yes,42805.0,152.0,131,0.0,train
243170,Female,25,1,45.0,1,< 1 Year,No,22803.0,152.0,109,0.0,train
191713,Male,25,1,28.0,0,1-2 Year,Yes,39425.0,163.0,36,0.0,train
135192,Female,52,1,6.0,0,1-2 Year,Yes,2630.0,124.0,131,0.0,train
141442,Female,20,1,45.0,0,< 1 Year,No,2630.0,160.0,176,0.0,train
249089,Male,80,1,28.0,0,1-2 Year,Yes,50071.0,26.0,297,0.0,train
291677,Male,49,1,28.0,0,> 2 Years,Yes,40955.0,26.0,117,1.0,train
7985,Male,54,1,41.0,1,1-2 Year,No,32834.0,124.0,23,0.0,train
154250,Female,31,1,37.0,0,< 1 Year,Yes,29575.0,152.0,35,0.0,train
171036,Female,31,1,46.0,0,< 1 Year,Yes,31345.0,160.0,240,0.0,train
341695,Female,51,1,28.0,0,1-2 Year,Yes,40552.0,124.0,255,1.0,train
189477,Male,62,1,28.0,1,1-2 Year,No,49065.0,26.0,190,0.0,train
330717,Male,52,1,20.0,0,1-2 Year,Yes,2630.0,156.0,243,0.0,train
109627,Male,22,1,28.0,1,< 1 Year,No,25946.0,152.0,80,0.0,train
109957,Male,73,1,11.0,1,1-2 Year,No,27423.0,26.0,38,0.0,train
51150,Female,76,1,28.0,0,1-2 Year,Yes,33204.0,26.0,275,0.0,train
195908,Female,54,1,9.0,1,1-2 Year,No,2630.0,124.0,44,0.0,train
41287,Female,28,1,30.0,1,< 1 Year,No,27404.0,152.0,239,0.0,train
109836,Male,28,1,12.0,1,< 1 Year,No,23908.0,152.0,280,0.0,train
251791,Female,67,1,28.0,0,1-2 Year,Yes,28862.0,111.0,261,0.0,train
119619,Female,51,1,26.0,0,1-2 Year,No,33744.0,124.0,221,0.0,train
18653,Female,55,1,29.0,0,1-2 Year,Yes,36307.0,26.0,113,0.0,train
143524,Male,46,1,28.0,1,1-2 Year,No,33626.0,124.0,229,0.0,train
134214,Female,47,1,28.0,0,1-2 Year,Yes,43345.0,52.0,204,0.0,train
119713,Male,27,1,8.0,1,< 1 Year,No,31606.0,152.0,207,0.0,train
308844,Female,38,1,21.0,1,1-2 Year,No,26155.0,152.0,152,0.0,train
142416,Male,53,1,46.0,1,1-2 Year,No,31989.0,11.0,176,0.0,train
